id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
CUR3-026,Infertilidade Conjugal,"Critérios de Rotterdam para SOP incluem dois dos três, EXCETO:",Oligo/anovulação,Hiperandrogenismo clínico/bioquímico,Ovários policísticos ao US,Progesterona lútea elevada em todos os ciclos,Exclusão de causas secundárias,D,Progesterona elevada não é critério; SOP requer 2/3 + exclusões.,3,"SOP,Rotterdam,critérios"
CUR3-027,Infertilidade Conjugal,Indicação clássica para ICSI em reprodução assistida:,Oligozoospermia grave ou falhas de FIV prévias,Ovulação irregular leve,Idade <30 anos,Trompas pérvias,Endométrio fino,A,ICSI é indicada para fator masculino severo/falhas de fertilização.,3,"ICSI,fator masculino"
CUR3-028,Infertilidade Conjugal,Risco aumentado de SHO (síndrome de hiperestimulação ovariana) está associado a:,AMH baixo e poucos folículos,"AMH alto, muitos folículos antrais e resposta exuberante a gonadotrofinas",Uso de progesterona luteal,Endometriose,Fase lútea deficiente,B,Reserva alta aumenta risco de SHO com gonadotrofinas.,3,"SHO,AMH alto,gonadotrofinas"
CUR3-029,Infertilidade Conjugal,Varicocele clínica com espermograma alterado em homem jovem infértil. Conduta possível:,Habitualmente observar,Correção cirúrgica pode melhorar parâmetros e chances,ICSI imediatamente,Antibiótico,Preferencialmente vitaminas,B,Varicocelectomia pode melhorar parâmetros e fertilidade em casos selecionados.,2,"varicocele,cirurgia,espermograma"
CUR3-030,Infertilidade Conjugal,HyCoSy (US com contraste) pode ser usada para:,Avaliar patência tubária,Avaliar preferencialmente reserva ovariana,Tratar endometriose,Medir FSH,Avaliar cariótipo,A,Histerossonossalpingografia com contraste avalia patência.,2,"HyCoSy,patência tubária"
CUR3-031,Tireoidopatias na Gestação,Estratégia 'block-and-replace' (ATD + LT4) na gestação é:,Rotineiramente recomendada,Geralmente evitada; preferir menor dose efetiva de ATD,Indicação frequente no 1º tri,Muito segura para o feto,Sem impacto,B,Evita-se excesso de ATD para não induzir hipotireoidismo fetal.,3,"block-and-replace,evitar,gestação"
CUR3-032,Tireoidopatias na Gestação,Metimazol em baixas doses na lactação:,Não recomendado,Compatível com amamentação com monitorização clínica,Exige suspensão do aleitamento,Tóxico para o RN em qualquer dose,Indicação frequente suspender TARV,B,Doses baixas são consideradas compatíveis; observar RN.,2,"metimazol,lactação,segurança"
CUR3-033,Tireoidopatias na Gestação,Quando postergar FNA de nódulo suspeito em gestante:,Habitualmente no 1º tri,"Lesões altamente suspeitas devem ser avaliadas; FNA pode ser feita na gestação; cirurgia, se possível, no 2º tri",Em geral não fazer FNA na gestação,Operar imediatamente no 1º tri,Deixar para após a lactação habitualmente,B,FNA é segura; cirurgia preferível no 2º tri quando necessária.,3,"FNA,segurança,2º tri"
CUR3-034,Tireoidopatias na Gestação,Hipotireoidismo subclínico com TPO− e TSH discretamente elevado no 2º tri. Conduta:,Tratar habitualmente,Individualizar; considerar metas do trimestre e sintomas,Iodo radioativo,Metimazol,Suspender todo seguimento,B,Abordagem individualizada conforme TSH/IG/sintomas e diretrizes locais.,2,"subclínico,TPO−,individualizar"
CUR3-035,Tireoidopatias na Gestação,TRAb muito elevado no 3º tri. Impacto no RN:,Sem risco,Risco de tireotoxicose/neonatal → alinhar com neonatologia para monitorização,Hipotireoidismo habitualmente,Icterícia hemolítica,Sem necessidade de ação,B,TRAb atravessa placenta e pode causar tireotoxicose neonatal.,3,"TRAb,neonatal,monitorização"
CUR3-036,Vulvovaginites,Diferença útil entre cervicite por IST e VB:,VB cursa com dor pélvica intensa e sangramento pós-coito habitualmente,"Cervicite tende a causar secreção endocervical purulenta e friabilidade; VB é principalmente vaginal com pH>4,5",VB habitualmente tem teste de amina negativo,Cervicite tem pH normal habitualmente,Não há diferença — conforme protocolo do serviço,B,Cervicite envolve canal endocervical; VB altera pH e secreção vaginal.,2,"cervicite,VB,diferenças"
CUR3-037,Vulvovaginites,Infecção mista (VB + candidíase). Conduta:,Tratar preferencialmente VB,Tratar ambas com esquemas específicos,Aguardar resolução espontânea,Preferencialmente probióticos,Suspender amamentação,B,Abordar ambos agentes conforme protocolos.,2,"infecção mista,VB,cândida"
CUR3-038,Vulvovaginites,Recorrência de VB logo após tratamento adequado. Qual fator contribuiria?,Lavagem vaginal frequente/desequilíbrio da microbiota,Uso de probióticos,Abstinência sexual,Uso consistente de preservativos,Terapia supressiva,A,Duchas vaginais e desequilíbrio microbiota favorecem recorrência.,1,"VB,recorrência,fatores"
CUR3-039,Vulvovaginites,Teste de amina positivo é provocado geralmente por:,Produção de aminas por anaeróbios (VB) em meio alcalino,Atividade de Candida,Trichomonas exclusivamente,Lactobacilos,Chlamydia,A,Anaeróbios de VB produzem aminas voláteis que liberam odor ao KOH.,1,"teste de amina,VB,anaeróbios"
CUR3-040,Vulvovaginites,Tratamento de tricomoníase com falha clínica após metronidazol dose única. Próxima conduta:,Repetir mesma dose imediatamente,Esquema de 500 mg 12/12h por 7 dias e tratar parceiro,Trocar para fluconazol,Suspender tratamento,Preferencialmente higiene,B,Esquema de 7 dias aumenta sucesso; tratar parceiro simultaneamente.,2,"tricomoníase,recorrência,parceiro"
